food,date,min,sec,time
Twinkies,2017-07-18,11,30,11.5
Gushers,2017-12-20,13,13,13.2166666666667
Cheetos,2018-03-21,16,39,16.65
Kit Kat,2018-05-02,18,57,18.95
Skittles,2018-06-05,17,13,17.2166666666667
Lucky Charms,2018-06-26,18,51,18.85
Oreos,2018-07-31,15,18,15.3
Twizzlers,2018-09-18,16,40,16.6666666666667
Sno Balls,2018-11-14,17,48,17.8
Instant Ramen,2018-11-29,25,33,25.55
Snickers,2018-12-21,20,44,20.7333333333333
Pringles,2019-01-22,21,5,21.0833333333333
Ferrero Rocher,2019-02-12,28,27,28.45
Reese's,2019-03-05,19,17,19.2833333333333
Cheez-Its,2019-03-26,21,57,21.95
Peeps,2019-04-19,24,45,24.75
Almond Joy,2019-05-09,31,20,31.3333333333333
Doritos,2019-05-22,46,50,46.8333333333333
Twix,2019-06-13,39,54,39.9
Starburst,2019-06-20,40,10,40.1666666666667
Pop Rocks,2019-07-17,26,1,26.0166666666667
Pop-Tarts,2019-08-07,34,48,34.8
Pocky,2019-08-20,35,9,35.15
M&M's,2019-09-11,40,10,40.1666666666667
